"ID","Citation","Title","Year","Number.of.Studies","Screened","Include","Study","Focal.Hypothesis.Description","Design","Code.for.Interaction","Code.for.Main.Effect.vs.Interaction","TMT.theory.or.other","Method.MAPS.or.Other","Treatment.Group.2","Treatment.Group.3","Treatment.Group.4","Treatment.Group.5","Control.Group.DP.or.other","Control.Group.2","Interaction.Variable.1","Interaction.Variable.2","Interaction.Variable.3","Interaction.Variable.4","Dependent.Variable","Dependent.Variable.2","DV.Codes","DV.Types","Delay","Code.for.Delay.Task","Age.M","Entirely.College","Code.and.Location","Code.for.Location","Focal.Analysis.Description","Copy.Paste.Statistical.Result","test.Statistic","Value","df","p.value","Total.N","Statistics.1","Statistic.2","Notes","NumCells","Cell.N"
4,"Abdollahi, A., Henthorn, C., & Pyszczynski, T. (2009). Experimental peace psychology: Priming consensus mitigates aggression against outgroups under mortality salience. Behavioral Sciences of Terrorism and Political Aggression, 2(1), 30-37.","Experimental peace psychology: Priming consensus mitigates aggression against outgroups under mortality salience.","2009",1,"","Y","1","It was predicted that, under MS, if Iranian college students learn that the majority of their fellow citizens oppose martyrdom attacks, then their attitudes might gravitate toward this majority consensus, thus reducing their support of martyrdom tactics.","2X3 BS","Attitude/Political Ideology","interaction (2X2)","TMT","MAPS","","","","","DP","","attitudes towards out-groups","","","","support of martydom tactics","","5: other support for martyrdom","Attitudes and Beliefs","1 (PANAS)","1","21.35","y","3: Iran",3,"2X3 ANOVA","Of greatest relevance to our hypotheses, there was a statistically significant interaction effect between the two independent variables (death × consensus), F(2, 144) = 4.98, p < .01, η² = 0.07.","F","4.98","2,144","0.008",150,"F(2, 144)=4.98","","did not provide exact p-value",6,25
5,"Abdollahi, A., Pyszczynski, T., Maxfield, M., & Luszczynska, A. (2011). Posttraumatic stress reactions as a disruption in anxiety-buffer functioning: Dissociation and responses to mortality salience as predictors of severity of posttraumatic symptoms. Psychological Trauma: Theory, Research, Practice, and Policy, 3(4), 329–341. https://doi.org/10.1037/a0021084","Posttraumatic stress reactions as a disruption in anxiety-buffer functioning: Dissociation and responses to mortality salience as predictors of severity of posttraumatic symptoms.","2011",2,"","Y","1","We hypothesized that earthquake victims high in dissociative tendencies would not show worldview defensive responses to MS. We also hypothesized that low dissociators, who were expected to show defensive responses indicative of normal anxiety-buffer functioning, would show little emotional reaction to such thoughts, as is typically found in MS studies.","3X2 BS","De: OTHER","Interaction (2X2)","TMT","MAPS","Earthquake","","","","DP","","PTSD","","","","attitudes towards foreign aid","","5: attitudes towards foreign aid","Attitudes and Beliefs","2 (PANAS + word search)","2","24.28","n","3: Iran",3,"3X2 ANOVA","A 3 × 2 analysis of variance (ANOVA) performed on the worldview defense measure (mean of the 5 foreign aid items) revealed a main effect of prime, F(2, 174) = 70.97, p < .01, and the predicted prime × dissociation interaction, F(2, 174) = 38.07, p < .01.","F","38.07","2,174","<.01",180,"F(2, 174)=38.07","","",6,30
6,"Abdollahi, A., Pyszczynski, T., Maxfield, M., & Luszczynska, A. (2011). Posttraumatic stress reactions as a disruption in anxiety-buffer functioning: Dissociation and responses to mortality salience as predictors of severity of posttraumatic symptoms. Psychological Trauma: Theory, Research, Practice, and Policy, 3(4), 329–341. https://doi.org/10.1037/a0021084","Posttraumatic stress reactions as a disruption in anxiety-buffer functioning: Dissociation and responses to mortality salience as predictors of severity of posttraumatic symptoms.","2011",2,"","Y","2","Based on the TMT idea that reminders of death increase allegiance to one's cultural worldview, we expected that MS would increase support for traditional Islamic clothing among persons with normal anxiety-buffer functioning, in this case, persons with low PTSD severity","3X2 BS","De: OTHER","Interaction (2X2)","TMT","MAPS","Earthquake","","","","DP","","PTSD","","","","attitudes towards foreign aid","","5: attitudes towards foreign aid","Attitudes and Beliefs","2 (PANAS + word search)","2","24.2","n","3: Iran",3,"3X2 ANOVA","A 3 × 2 ANOVA assessed effects on worldview defense in the form of support of the strict Islamic dress code. Significant main effects of prime, F(2, 166) = 7.60, p < .01, and symptom severity, F(1, 166) = 33.95, p < .01, were found. Again, the predicted prime x symptom severity interaction emerged, F(2, 166) = 27.72, p < .01.","F","27.72","2,166","NA (p<.01)",172,"F(2, 166)=27.72","","same participants as study 1; did not report difference in linear trends; used first listed result in results section that corresponded to hypothesis",6,28.6666666666667
14,"Agroskin, D., & Jonas, E. (2013). Controlling death by defending ingroups—Mediational insights into terror management and control restoration. Journal of Experimental Social Psychology, 49(6), 1144–1158. https://doi.org/10.1016/j.jesp.2013.05.014","Controlling death by defending ingroups—Mediational insights into terror management and control restoration.","2013",3,"","Y","3","The hypothesized model was tested in two steps corresponding to two different ways of coding the manipulation variable. With respect to need for structure the same two contrasts (Contrast A and B) used in the previous studies were utilized, since we wanted to test again whether MS and lacking control differ from having control (Contrast A) and from each other (Contrast B). We expected Contrast A to exert a positive effect on need for structure under conditions of low but not high self-esteem. In contrast, Contrast B should not attain significance because need for structure was not expected to be specific to death (contrary todeath-thought accessibility).","2X2X2X3 BS","Tr","main effect (contrast:2)","OTHER (control)","MAPS","control deprivation","","","","OTHER (boredom)","","Self-Esteem: High Low ","","","","need for structure","","5: other need for structure","Attitudes and Beliefs","1 (PANAS-X)","1","23.9","y","2: Austria",2,"","Consistent with our predictions, Contrast A affected need for structure as a function of self-esteem, b = −.48, SE = .22, β = −.19, t(136) = −2.20, p < .05, such that MS and lacking control increased need for structure relative to having control under conditions of low self-esteem (SD = −1), b = .46, SE = .27, β = .20, t(136) = 1.73, p < .05 (one-tailed due to replication), but not high self-esteem (SD = 1), b = −.41, SE = .26, β = −.18, t(136) = −1.57, p = .12 (Fig. 6).","t","-2.2","136","<.05",144,"t(136)=-2.2","","Used test of first listed hypothesis /result in results section",24,6
16,"Agroskin, D., Jonas, E., Klackl, J., & Prentice, M. (2016). Inhibition underlies the effect of high need for closure on cultural closed-mindedness under mortality salience. Frontiers in Psychology, 7. Retrieved from http://ezproxy.library.ubc.ca/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-52732-001&site=ehost-live&scope=site","Inhibition underlies the effect of high need for closure on cultural closed-mindedness under mortality salience.","2016",3,"","Y","1","Study 1 was designed to test whether (a) persons with high NFC respond with increased BIS activity (as assessed by LBT assessed right-frontal activity) to MS, and (b) their increased BIS activity mediates their increased unwillingness to explore foreign cultures","2X2 BS","Tr","interaction (2X2+C)","TMT","MAPS","","","","","OTHER (TV)","","need for closure","","","","Differences in Line Bisection Task scores","","8: Line Bisection Task","Neural and Physiological","free-thought delay","1","22","y","2: Austria",2,"hierarchical regression","Baseline LBT, effect-coded threat, NFC, and the threat × NFC interaction were entered as predictors of post-threat LBT. As displayed in Table 2, there were no main effects, and the threat × NFC interaction was significant (ΔR² = 0.060).","t","2.28","53","0.026",74,"t(53)=2.28","","included test of first listed results relevant to hypothesis; excluded additional 16 participants who were left-handed from analysis",4,18.5
17,"Agroskin, D., Jonas, E., Klackl, J., & Prentice, M. (2016). Inhibition underlies the effect of high need for closure on cultural closed-mindedness under mortality salience. Frontiers in Psychology, 7. Retrieved from http://ezproxy.library.ubc.ca/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-52732-001&site=ehost-live&scope=site","Inhibition underlies the effect of high need for closure on cultural closed-mindedness under mortality salience.","2016",3,"","Y","2","Building on Study 1, Study 2 employed a poem-based MS manipulation (Agroskin and Jonas, 2013), the full NFC scale (Schlink and Walther, 2007), and frontal EEG alpha asymmetry instead of the LBT as a more direct measure of BIS-related neural activity.","2X2 BS","Tr","","TMT","OTHER (poem about death)","","","","","OTHER (poem about weather)","","need for closure","","","","EEG avoidance motivation","","8: Line Bisection Task","Neural and Physiological","1 (PANAS)","1","22.1","y","2: Austria",2,"hierarchical regression","This effect was qualified by a significant interaction between the manipulation and NFC, b = 0.24, SE = 0.09, β = 0.43, t(28) = 2.56, p = 0.01, ΔR² = 0.16.","t","2.56","28","NA (p<.01)",33,"t(28)=2.56","","included test of first listed results relevant to hypothesis",4,8.25
18,"Agroskin, D., Jonas, E., Klackl, J., & Prentice, M. (2016). Inhibition underlies the effect of high need for closure on cultural closed-mindedness under mortality salience. Frontiers in Psychology, 7. Retrieved from http://ezproxy.library.ubc.ca/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-52732-001&site=ehost-live&scope=site","Inhibition underlies the effect of high need for closure on cultural closed-mindedness under mortality salience.","2016",3,"","Y","3","We expected inhibition to promote ethnocentric thinking for persons with high NFC","2X2 BS","Tr","","OTHER (inhibition)","OTHER (modified MAPS about inhibition)","","","","","OTHER (normal)","","need for closure","","","","ethnocentrism","","5: other ethnocentrism","Attitudes and Beliefs","1 (PANAS)","1","21.6","y","2: Austria",2,"hierarchical regression","Whereas, there were no significant main effects (ps > 0.14), the interaction between the manipulation (coded as inhibition = 1, control = 0) and NFC was significant, b = 0.49, SE = 0.21, β = 0.27, t(69) = 2.38, p < 0.02, ΔR² = 0.07.","t","2.38","69","<.02",76,"t(69)=2.38","","included test of first listed results relevant to hypothesis",4,19
22,"Allen, M. W., & Wilson, M. (2005). Materialism and food security. Appetite, 45(3), 314–323. https://doi.org/10.1016/j.appet.2005.06.005","Materialism and food security.","2005",3,"","Y","3","If materialism stems from a (current) state of low survival security, then the Mortality Salience manipulation should increase participants' endorsement of materialism. Moreover, if survival security motivation leads materialists to have an elevated concern about food security, then individuals who increase their endorsement of materialism due to the Mortality Salience manipulation should also increase the importance of food security as a goal. Furthermore, the emotional significance of food may also increase when materialists feel insecure, a notion which we explore.","2X2 BS","Tr","interaction (2X2)","TMT","MAPS","","","","","TV","","materialism as expressed by survivability","","","","materialism","","5: other worldview materialism","Attitudes and Beliefs","0","0","32","y","4: Australia",4,"2X2 ANOVA","The ANOVA achieved a significant main effect for security feeling, F(1, 123) = 4.0, p < 0.05, but this was complicated by a significant 2-way interaction between security feeling and experimental condition, F(1, 123) = 10.6, p < 0.001.","F","10.6","1,123","",124,"F(1, 123)=10.6","","",4,31
28,"Alper, S., & Özkan, T. (2015). Do internals speed less and externals speed more to cope with the death anxiety? Transportation Research Part F: Traffic Psychology and Behaviour,32, 68–77. Retrieved from sinan.alper@metu.edu.tr","Do internals speed less and externals speed more to cope with the death anxiety?","2015",1,"","Y","1","We anticipate that MS manipulation would strengthen the drivers’ existing beliefs (see Burke et al., 2010). So in this case, MS would strengthen the drivers’ existing T-LOC and lead drivers with external T-LOC to be less inclined to speed whereas leading drivers with internal T-LOC more inclined to speed.","2X2 BS","Tr","interaction (2X2)","TMT","MAPS","","","","","DP","","Traffic locus of control: internal external","","","","intention to comply with the 90 km/h speed limit","","6: other compliance with speed limit","Behavior","PANAS + word search","2","21.97","n","3: Turkey",3,"2X2 ANOVA","The interaction between MS and external locus, on the other hand, was significant for intention to comply with the 90 km/h speed limit, F(1, 199) = 4.63, p = .03.","F","4.63","1,199","0.03",208,"F(1, 199)=4.63","","Although the first reported statistics were the interactions between MS and desirability of control, I don't think that's what got this paper published because that part is just a conceptual replication of a previous study. What is new about this study, and what the author seems to place more emphasis on, is the locus of control interaction, so the first significant interaction is the one reported here",4,52
33,"Anaki, D., Brezniak, T., & Shalom, L. (2012). Faces in the face of death: Effects of exposure to life-threatening events and mortality salience on facial expression recognition in combat and noncombat military veterans. Emotion, 12(4), 860–867. https://doi.org/10.1037/a0029415","Faces in the face of death: Effects of exposure to life-threatening events and mortality salience on facial expression recognition in combat and noncombat military veterans.","2012",2,"","Y","1","We predicted that veterans with combat exposure would be more accurate than noncombat veterans in identifying facial expressions of fear and anger. In addition, we predicted that this difference would be moderated by mortality salience, which will have a dissimilar effect on combat and noncombat veterans; while its effect on combat veterans will be minimal, noncombat veterans will show increased sensitivity to facial expressions of threat under mortality salience induction.","2X2 BS","De: OTHER","interaction (2X3X4w)","TMT","MAPS","","","","","OTHER (pain)","","PTSD","","","","emotion labeling","","7: labelling of emotion","Cognition","none","0","26.6","n","2: Israel",2,"2X3X4 mixed ANOVA","For fear, an interaction between Type of Military Service and Salience Type was obtained, F(1, 76) = 6.62, p = .01.","F","6.62","1,76","NA (p<.03)",80,"F(1, 76)=6.62","","hypothesized both fear and anger, but only anger showed predicted interaction",4,20
